"date","site","round","starttime","endtime","start30","end30","year","starttemp","endtemp","avg.temp"
2021-06-15,"Lake Irwin",NA,"13:31","13:58","13:30","14:00",2021,33.639,34.058,33.8485
2021-06-15,"Ohio Pass High",NA,"12:14","13:00","12:00","13:00",2021,28.953,30.154,29.5535
2021-06-15,"Ohio Pass Low",NA,"10:58","11:23","11:00","11:30",2021,26.585,27.961,27.273
2021-06-16,"Kebler Pass",1,"10:15","10:41","10:30","10:30",2021,32.291,32.291,32.291
2021-06-16,"Kebler Pass",2,"12:00","12:30","12:00","12:30",2021,34.903,35.649,35.276
2021-06-16,"Kebler Pass",3,"14:00","14:25","14:00","14:30",2021,35.115,35.115,35.115
2021-06-17,"403 Bench",NA,"10:35","10:55","10:30","11:00",2021,29.152,30.659,29.9055
2021-06-17,"Gothic Town",NA,"13:01","13:50","13:00","14:00",2021,29.652,26.977,28.3145
2021-06-17,"Brush Creek Hill",1,"10:05","10:40","10:00","10:30",2021,30.457,32.394,31.4255
2021-06-17,"Brush Creek Hill",2,"12:00","12:35","12:00","12:30",2021,36.079,38.046,37.0625
2021-06-17,"Brush Creek Hill",3,"14:33","15:02","14:30","15:00",2021,31.88,31.778,31.829
2021-06-17,"Brush Creek Trail",NA,"13:41","14:20","13:30","14:30",2021,31.778,33.014,32.396
2021-06-18,"Pfeiler",NA,"10:20","10:35","10:30","10:30",2021,28.555,28.555,28.555
2021-06-18,"Wash 3C",NA,"11:23","11:44","11:30","11:30",2021,31.778,31.778,31.778
2021-06-18,"Meridian",NA,"12:39","13:00","12:30","13:00",2021,29.053,30.963,30.008
2021-06-21,"Rustlers Gulch",1,"10:00","10:34","10:00","10:30",2021,21.76,22.525,22.1425
2021-06-21,"Rustlers Gulch",2,"12:00","12:31","12:00","12:30",2021,23.388,24.641,24.0145
2021-06-21,"Rustlers Gulch",3,"14:00","14:20","14:00","14:30",2021,25.125,24.835,24.98
2021-06-21,"Stupid Falls",1,"10:00","10:26","10:00","10:30",2021,24.448,24.738,24.593
2021-06-21,"Stupid Falls",2,"11:59","12:36","12:00","12:30",2021,26.488,27.468,26.978
2021-06-21,"Stupid Falls",3,"13:59","14:28","14:00","14:30",2021,27.862,28.456,28.159
2021-06-22,"Avery Picnic",NA,"10:15","12:05","10:30","12:00",2021,17.95,32.497,25.2235
2021-06-23,"Virginia Basin",NA,"","",NA,NA,NA,NA,NA,NA
2021-06-22,"Coal Creek",NA,"11:01","11:30","11:00","11:30",2021,31.268,30.76,31.014
2021-06-22,"Ohio Pass High",NA,"13:11","13:35","13:00","13:30",2021,25.61,26.292,25.951
2021-06-22,"Lake Irwin",NA,"12:00","12:35","12:00","12:30",2021,30.054,29.053,29.5535
2021-06-23,"Kebler Pass",NA,"10:22","11:00","10:30","11:00",2021,25.125,20.805,22.965
2021-06-23,"Ohio Pass Low",NA,"12:15","12:45","12:30","13:00",2021,23.484,25.902,24.693
2021-06-23,"Brush Creek Trail",NA,"14:15","15:02","14:30","15:00",2021,34.374,28.555,31.4645
2021-06-24,"Gothic Town",NA,"10:20","11:36","10:30","11:30",2021,17.855,17.855,17.855
2021-06-24,"403 Bench",NA,"10:15","10:35","10:30","10:30",2021,19.472,19.472,19.472
2021-06-24,"Brush Creek Hill",1,"10:10","10:41","10:00","10:30",2021,27.961,26.977,27.469
2021-06-24,"Brush Creek Hill",2,"12:00","12:30","12:00","12:30",2021,27.272,26.292,26.782
2021-06-25,"Wash 3C",NA,"11:25","11:47","11:30","12:00",2021,20.996,21.378,21.187
2021-06-25,"Pfeiler",NA,"12:14","12:35","12:00","12:30",2021,18.616,16.808,17.712
2021-06-25,"Meridian",NA,"10:24","10:50","10:30","11:00",2021,14.134,16.713,15.4235
2021-06-28,"Virginia Basin",NA,"10:40","11:27","10:30","11:30",2021,18.426,18.236,18.331
2021-06-28,"Lake Irwin",NA,"10:25","10:46","10:30","11:00",2021,16.427,16.618,16.5225
2021-06-28,"Ohio Pass High",NA,"11:06","11:30","11:00","11:30",2021,20.519,21.473,20.996
2021-06-28,"Ohio Pass Low",NA,"11:51","12:13","12:00","12:00",2021,22.812,22.812,22.812
2021-06-29,"Stupid Falls",3,"13:55","14:10","14:00","14:00",2021,24.738,24.738,24.738
2021-06-29,"Stupid Falls",1,"10:30","10:50","10:30","11:00",2021,14.517,16.237,15.377
2021-06-29,"Stupid Falls",2,"11:50","12:19","12:00","12:30",2021,23.196,25.416,24.306
2021-06-29,"Brush Creek Trail",NA,"10:20","11:12","10:30","11:00",2021,14.613,18.331,16.472
2021-06-29,"Coal Creek",NA,"12:14","12:46","12:00","13:00",2021,16.713,18.426,17.5695
2021-06-30,"Avery Picnic",NA,"10:02","11:11","10:00","11:00",2021,13.846,21.187,17.5165
2021-06-30,"Rustlers Gulch",1,"10:00","10:23","10:00","10:30",2021,18.901,21.569,20.235
